Iter;Param[0];Param[1];Param[2];Param[3];Param[4];Function
0;0.1677678095;0.1440696747;0.1343796079;0.1411019511;0.1631877656;1
1;0.191997683;0.2962979199;0.4562678287;0.3347100645;0.214632682;6813.975834
2;0.1701907968;0.1592924993;0.16656843;0.1604627624;0.1683322572;56.94090129
3;0.1680402344;0.1457812303;0.13799871;0.143278755;0.1637661788;0.02998244605
4;0.04091708687;0;0.1027534789;0.3474619227;0.3062812359;804.0486529
5;0.1553279197;0.1312031072;0.1344741869;0.1636970717;0.1780176845;10.75697777
6;0.1667690029;0.144323418;0.1376462577;0.1453205867;0.1651913294;0.04528163251
7;0.1674887828;0.1451488411;0.1378458186;0.1441644878;0.1643843996;0.008393093454
8;0.01696582055;0.3791426539;0;0.1561595562;0.4161705838;1523.571879
9;0.1524364865;0.1685482224;0.1240612367;0.1453639947;0.189563018;11.05095992
10;0.1659835531;0.1474887792;0.1364673604;0.1442844385;0.1669022614;0.02739840151
11;0.1670015441;0.1459062725;0.1373996155;0.1442033155;0.1651994244;0.004166659654
12;0;0.1666138243;0.1820817421;0.07074902605;0.1897569221;171.2078848
13;0.1503013897;0.1479770277;0.1418678282;0.1368578866;0.1676551742;1.302536755
14;0.1653315287;0.146113348;0.1378464368;0.1434687726;0.1654449994;0.01185058987
15;0.1666673134;0.1459477158;0.1374890407;0.1440563068;0.1652485729;0.003659022151
16;0.1955787001;0.1156190738;0.1658862018;0.1004180292;0.2301604088;39.81252816
17;0.1695584521;0.1429148516;0.1403287568;0.1396924791;0.1717397565;0.1536678585
18;0.1669564273;0.1456444294;0.1377730123;0.143619924;0.1658976912;0.004954598593
19;0.1666962248;0.1459173872;0.1375174378;0.1440126685;0.1653134847;0.00365926368
20;0.1666815248;0.1459328078;0.1375029993;0.1440348565;0.1652804802;0.003655517664
21;0.1667558761;0.1460087683;0.137890861;0.144241597;0.1652054679;0.002146816674
22;0.1667260594;0.1459784452;0.1377359569;0.1441557866;0.1652370649;0.0008988313154
23;0.1667257422;0.1459792481;0.137735352;0.1441563995;0.1652369906;0.0008988269272
24;0.1667257393;0.1459792524;0.1377353477;0.1441564077;0.1652369771;0.0008988269266
25;0.1667255613;0.1459789795;0.1377350384;0.144156373;0.165237263;0.0008988337787
26;0.1667257393;0.1459792524;0.1377353477;0.1441564077;0.1652369771;0.0008988269266
