Iter;Param[0];Param[1];Param[2];Param[3];Param[4];Function
0;0.1671761959;0.1430099274;0.1314435723;0.1360864624;0.1566598229;1
1;0.1108501522;0.1923048843;0.4505074447;0.4055221229;0.2469641916;6897.063718
2;0.1615435915;0.1479394231;0.1633499596;0.1630300285;0.1656902598;63.22223609
3;0.1666129355;0.143502877;0.134634211;0.138780819;0.1575628666;0.2270004098
4;0.03447830785;0;0.1147155255;0.2474763141;0.2318014743;506.8656138
5;0.1533994727;0.1291525893;0.1326423425;0.1496503685;0.1649867274;5.419579274
6;0.1645903285;0.1413062543;0.1343293124;0.1404446393;0.1586992494;0.0426026192
7;2.775557562e-17;0.2001931182;0.1502967473;0.07886554896;0.2124133334;321.8036426
8;0.1481312956;0.1471949407;0.1359260559;0.1342867302;0.1640706578;1.266737208
9;0.1622240853;0.142152845;0.1345588692;0.1395593436;0.1594714734;0.005408120762
10;0.1219684378;0.3069897933;0;0.211974468;0.3350432457;1429.696529
11;0.1581985205;0.1586365398;0.1211029823;0.146800856;0.1770286506;9.261855078
12;0.1618215288;0.1438012145;0.1332132805;0.1402834948;0.1612271911;0.02440011086
13;0.1621057404;0.1426374382;0.1341632885;0.139772232;0.1599876252;0.002362412661
14;0.08643863207;0.2145034117;0.0690865003;0.2420604481;0;1057.394237
15;0.1545390296;0.1498240356;0.1276556097;0.1500010536;0.1439888627;5.376650794
16;0.1613490693;0.143356098;0.1335125206;0.1407951142;0.1583877489;0.0133094604
17;0.1620300733;0.1427093042;0.1340982117;0.1398745202;0.1598276375;0.002395628595
18;0.1620788017;0.1426630237;0.1341401201;0.1398086483;0.1599306669;0.002347886716
19;0.1615019612;0.1427803161;0.1343223357;0.1397054165;0.1601184658;0.0003926822826
20;0.1615285058;0.1427706111;0.1343175686;0.1397077641;0.1601099499;0.0003886557232
21;0.1615283046;0.1427708221;0.1343174184;0.1397078533;0.1601099274;0.0003886553873
22;0.1615283079;0.1427708176;0.1343174221;0.1397078529;0.1601099272;0.0003886553871
23;0.1615282263;0.1427705253;0.1343167837;0.1397072435;0.1601098202;0.0003886923129
24;0.1615283079;0.1427708176;0.1343174221;0.1397078529;0.1601099272;0.0003886553871
