Iter;Param[0];Param[1];Param[2];Param[3];Param[4];Function
0;0.1694376978;0.144178708;0.1293032419;0.1313586274;0.1500721548;1
1;0.1265522842;0.0536042966;0;0.06001080028;0.127218812;829.2614229
2;0.1651491565;0.1351212669;0.1163729177;0.1242238447;0.1477868205;11.19521011
3;0.1685429279;0.1422889451;0.1266054329;0.1298700119;0.149595338;0.1788158695
4;0;0.03203337696;0.2074095383;0.1502746248;0.1036018872;421.0299918
5;0.1516886351;0.1312633883;0.1346858434;0.1319104732;0.1449959929;2.95167606
6;0.1655426377;0.1403262482;0.1280438543;0.1302332414;0.1487765929;0.04032361683
7;0.03917672334;0.194281358;0.2014101725;0;0.02792235338;501.7887471
8;0.1529060463;0.1457217591;0.1353804861;0.1172099173;0.1366911689;3.866597491
9;0.1642789786;0.1408657993;0.1287775175;0.128930909;0.1475680505;0.00868952088
10;0;0.2827657498;0.04505623386;0.1847927393;0.1599180994;1002.734953
11;0.1478510807;0.1550557943;0.1204053891;0.134517092;0.1488030554;5.805152102
12;0.1626361888;0.1422847988;0.1279403047;0.1294895273;0.147691551;0.002607911498
13;0.1775277829;0.1600791116;0.08465519672;0.2223828261;0;466.4068048
14;0.1641253482;0.14406423;0.1236117939;0.1387788572;0.1329223959;1.983535051
15;0.1627851047;0.1424627419;0.1275074536;0.1304184603;0.1462146355;0.006845354304
16;0.1626668334;0.1423214167;0.1278512306;0.1296806872;0.1473876248;0.002421199081
17;0.1632126242;0.1417665612;0.1279707077;0.1296644406;0.1475147239;0.0003976669098
18;0.1631497606;0.1418172225;0.1279431906;0.1296713351;0.1475290749;0.0003775210262
19;0.1631463969;0.1418205345;0.1279417605;0.1296725872;0.1475268169;0.0003774481661
20;0.1631464394;0.1418205025;0.1279417499;0.1296726109;0.1475268295;0.0003774481395
21;0.1631495361;0.1418271398;0.1279577454;0.1296772391;0.1475237623;0.0003951116391
22;0.163146749;0.1418211663;0.1279433494;0.1296730737;0.1475265228;0.0003776247342
23;0.1631464703;0.1418205689;0.1279419098;0.1296726572;0.1475267988;0.0003774499015
24;0.1631464394;0.1418205025;0.1279417499;0.1296726109;0.1475268295;0.0003774481395
