Iter;Param[0];Param[1];Param[2];Param[3];Param[4];Function
0;0.1440342035;0.1190277784;0.1031111166;0.1048003753;0.1224491643;1
1;0.1149457939;0.06249805894;0;0.02134184413;0.08318875365;710.3824723
2;0.1411253626;0.1133748065;0.09280000494;0.09645452214;0.1185231233;11.13204842
3;0.1434453193;0.117883355;0.1010236699;0.1031107879;0.1216543517;0.2492636619
4;0.05234227832;0.109800197;0.1815662782;0.02186039836;0;1040.196992
5;0.1343350152;0.1170750392;0.1090779307;0.09498574897;0.1094889166;3.644958649
6;0.1416043983;0.1177200184;0.1026511961;0.1014689596;0.1191960797;0.04032678415
7;0;0.0429576176;0.1076730078;0.1951632895;0.05800417884;1080.974146
8;0.1274439585;0.1102437784;0.1031533772;0.1108383926;0.1130768896;5.406856982
9;0.1401883543;0.1169723944;0.1027014142;0.1024059029;0.1185841607;0.02265665421
10;0.01551534861;0.2698477567;0.002336235953;0.205008209;0;6443.818748
11;0.1277210537;0.1322599307;0.09266489636;0.1126661335;0.1067257446;39.03334802
12;0.1389416242;0.118501148;0.1016977624;0.103431926;0.1173983191;0.01151876091
13;0;0.1743230796;0.1078743071;0.03622578627;0.2662245761;895.5068478
14;0.1250474618;0.1240833412;0.1023154169;0.09671131199;0.1322809448;8.427477919
15;0.137552208;0.1190593674;0.1017595279;0.1027598646;0.1188865816;0.04284368582
16;0.1388026826;0.11855697;0.1017039389;0.1033647198;0.1175471453;0.01171812754
17;0.1389215858;0.1185091988;0.1016986532;0.1034222333;0.1174197831;0.01151263539
18;0.1400114559;0.1181356482;0.1021710402;0.1023856646;0.11826591;0.001475091408
19;0.1397807893;0.1182356246;0.1020333116;0.1026784855;0.1179772395;1.483512767e-05
20;0.1397680787;0.1182438021;0.1020292368;0.102680553;0.1179769237;1.340340582e-05
21;0.139766694;0.1182451036;0.1020287649;0.1026803608;0.1179774961;1.337802765e-05
22;0.1397666946;0.1182451108;0.102028772;0.1026803384;0.117977536;1.337801441e-05
23;0.1397867108;0.1182686839;0.1020372857;0.1026737772;0.1179791989;4.918470084e-05
24;0.1397686962;0.1182474681;0.1020296233;0.1026796823;0.1179777023;1.373583925e-05
25;0.1397668948;0.1182453465;0.1020288571;0.1026802728;0.1179775527;1.338157085e-05
26;0.1397666946;0.1182451108;0.102028772;0.1026803384;0.117977536;1.337801441e-05
