Iter;Param[0];Param[1];Param[2];Param[3];Param[4];Function
0;0.1179611971;0.1047628895;0.09952603329;0.1071663196;0.1212099435;1
1;0.1041658837;0.05417336616;0;0.04292621075;0.09653159336;417.4234581
2;0.1165816658;0.09970393714;0.08957342996;0.1007423087;0.1187421085;4.113107938
3;0.1175227215;0.1031549325;0.09636265931;0.1051244871;0.1204255573;0.06152848789
4;0.1179783089;0.1629814289;0.1395510671;0;0.001443172378;428.2768606
5;0.1175682802;0.1091375821;0.1006815001;0.09461203842;0.1085273188;2.592281592
6;0.1175283233;0.1038905475;0.09689369561;0.1038318968;0.1189625729;0.01433377364
7;0.02968840687;0.02931199097;0.1604873572;0.1151804832;0;584.8759189
8;0.1087443317;0.09643269184;0.1032530618;0.1049667554;0.1070663156;1.836932065
9;0.1166499242;0.1031447619;0.09752963223;0.1039453826;0.1177729472;0.003193715162
10;0.1460232219;0.1268285322;0.04405570539;0.2039291218;0;1769.177581
11;0.1195872539;0.105513139;0.09218223955;0.1139437566;0.1059956525;11.40453707
12;0.1169436571;0.1033815996;0.09699489296;0.10494522;0.1165952177;0.001747025083
13;0;0.1939406165;0.04740582049;0.1369762777;0.1113740949;1722.35114
14;0.1052492914;0.1124375013;0.09203598571;0.1081483258;0.1160731054;10.94829464
15;0.1157742206;0.1042871898;0.09649900224;0.1052655306;0.1165430065;0.004984456118
16;0.1163774315;0.1038200743;0.09675478928;0.1051003101;0.1165699377;0.002189535945
17;0.1167792921;0.1035088809;0.09692519522;0.1049902399;0.1165878794;0.001657998209
18;0.1168351968;0.1035099106;0.09693508184;0.104607352;0.1172715565;2.413411995e-07
19;0.1168329359;0.1035093994;0.09693487994;0.1046058009;0.1172679184;9.365894303e-11
20;0.1168329085;0.1035093873;0.09693487134;0.1046057764;0.1172678356;3.325067343e-17
21;0.1168327045;0.1035098862;0.09693598977;0.1046056409;0.1172677614;5.735740628e-08
22;0.1168328881;0.1035094372;0.09693498318;0.1046057629;0.1172678282;5.734342285e-10
23;0.1168329085;0.1035093873;0.09693487134;0.1046057764;0.1172678356;3.325067343e-17
