Iter;Param[0];Param[1];Param[2];Param[3];Param[4];Function
0;0.1355628185;0.1169961992;0.107576934;0.1139216732;0.1313773561;1
1;0.1837381779;0.2743520319;0.3659062094;0.2515790222;0.1690190513;478.8241439
2;0.1403803544;0.1327317824;0.1334098615;0.1276874081;0.1351415257;1.983985357
3;0.137534846;0.1234374596;0.1181514777;0.1195565888;0.1329181949;0.04716343519
4;0.3272463615;0.2694564864;0;0.1301360793;0.2322484624;73.72282873
5;0.1565059976;0.1380393623;0.10633633;0.1206145378;0.1428512216;0.3530764187
6;0.1420621757;0.1269220993;0.1153318772;0.1198090607;0.1352886407;0.008730964775
7;0.2548095961;0.05115558423;0;0.352548838;0.3553770944;146.0109749
8;0.1533369178;0.1193454478;0.1037986895;0.1430830385;0.1572974861;1.24919675
9;0.1431896499;0.1261644341;0.1141785584;0.1221364585;0.1374895252;0.002469383868
10;0.3002729367;0;0.1909707446;0.06503844873;0.1536791547;90.89338736
11;0.1588979786;0.1135479907;0.121857777;0.1164266575;0.1391084882;0.1956105839
12;0.1447604828;0.1249027898;0.1149464803;0.1215654784;0.1376514215;0.002061571228
13;0.1296821681;0.1205240883;0.136463265;0.0723341153;0.2104544063;6.128895979
14;0.1432526513;0.1244649196;0.1170981588;0.1166423421;0.14493172;0.01258712088
15;0.1446096996;0.1248590027;0.1151616481;0.1210731648;0.1383794514;0.002055742166
16;0.1457943887;0.1268961392;0.1142039791;0.1210818054;0.1381897256;0.0006581965689
17;0.1453262177;0.1262194266;0.1144809273;0.1211914849;0.1381203552;2.317279583e-07
18;0.1453505208;0.1261926896;0.1144957612;0.1211798134;0.1381261281;2.257346968e-10
19;0.1453515222;0.1261921969;0.1144960572;0.1211796964;0.138126117;1.166487238e-13
20;0.1453515274;0.1261921994;0.1144960509;0.1211796941;0.1381261185;3.987559378e-16
21;0.1453514558;0.1261930638;0.1144981531;0.1211808036;0.1381263499;3.182618355e-08
22;0.1453515203;0.1261922859;0.1144962612;0.1211798051;0.1381261416;3.176804659e-10
23;0.1453515274;0.1261921994;0.1144960509;0.1211796941;0.1381261185;3.987559378e-16
