Iter;Param[0];Param[1];Param[2];Param[3];Param[4];Function
0;0.1412623501;0.1173785102;0.107437719;0.1138885563;0.1358880858;1
1;0.1586299942;0.2385408326;0.3749018627;0.2774676683;0.1787975273;4831.102919
2;0.1429991145;0.1294947425;0.1341841333;0.1302464675;0.14017903;38.74536356
3;0.1414932624;0.118989429;0.1109937998;0.1160634293;0.1364585901;0.03465847488
4;0.04445048625;0;0.07347619957;0.2909680506;0.2571697056;557.16368
5;0.1317889847;0.1070904861;0.1072420398;0.1335538914;0.1485297017;7.284715921
6;0.1405228346;0.1177995347;0.1106186238;0.1178124755;0.1376657013;0.02390278983
7;0.03793720551;0.2993897524;0;0.1389320461;0.3225748493;896.395021
8;0.1302642717;0.1359585565;0.09955676141;0.1199244325;0.1561566161;5.780346882
9;0.1394969783;0.1196154369;0.1095124375;0.1180236712;0.1395147928;0.02680845899
10;0.1400455244;0.1186444373;0.1101039377;0.1179107406;0.1385260462;0.01853379287
11;0;0.1439182443;0.1352141317;0.06968363941;0.1613293625;99.51329286
12;0.126040972;0.121171818;0.1126149571;0.1130880305;0.1408063778;0.7258569266
13;0.1386450692;0.1188971753;0.1103550396;0.1174284696;0.1387540793;0.02046997082
14;0.1395339874;0.1187367536;0.1101956564;0.117734584;0.1386093386;0.01758766625
15;0.1228959335;0.1378962804;0.09288288505;0.1447751709;0.09724739269;30.94921292
16;0.137870182;0.1206527063;0.1084643793;0.1204386427;0.134473144;0.07241942539
17;0.1393676069;0.1189283489;0.1100225287;0.1180049898;0.1381957192;0.01771756474
18;0.1394713465;0.1188088877;0.1101304752;0.1178363896;0.1384536142;0.01751568613
19;0.1454909748;0.1242719933;0.1152098696;0.1092546697;0.1341572048;1.914895449
20;0.1400733093;0.1193551983;0.1106384146;0.1169782176;0.1380239732;0.0003505371128
21;0.1399859526;0.1193066337;0.1105652815;0.1170840574;0.1380756447;2.444389148e-05
22;0.1399868742;0.119306722;0.1105653563;0.1170834513;0.1380766249;2.443676908e-05
23;0.1399868709;0.1193067278;0.1105653542;0.1170834595;0.1380766227;2.443676821e-05
24;0.1399854238;0.119304821;0.1105598274;0.1170795182;0.13807608;2.66119185e-05
25;0.1399867262;0.1193065371;0.1105648016;0.1170830654;0.1380765684;2.445851548e-05
26;0.1399868709;0.1193067278;0.1105653542;0.1170834595;0.1380766227;2.443676821e-05
