Iter;Param[0];Param[1];Param[2];Param[3];Param[4];Function
0;0.1364056257;0.1311432997;0.1325342086;0.1423573991;0.1509820844;1
1;0.1675400529;0.2449088519;0.4277565926;0.1236999725;0.244358982;82950.41911
2;0.1395190685;0.1425198549;0.162056447;0.1404916564;0.1603197742;980.7383481
3;0.13671697;0.1322809552;0.1354864324;0.1421708248;0.1519158534;3.055484629
4;0.1365241806;0.1315765003;0.1336583672;0.1422863546;0.1513376484;0.07756489551
5;0.2474073336;0.04268275902;0.08087637964;0.1052628681;0.4277565926;5692.84408
6;0.1476124959;0.1226871262;0.1283801684;0.138584006;0.1789795428;46.40606725
7;0.1376330121;0.1306875629;0.1331305473;0.1419161198;0.1541018378;0.3084934535
8;0.1368081433;0.1313488507;0.1335231968;0.1421915405;0.1520455348;0.04664795332
9;0.3726406224;0.112413645;0.05851160725;0.3892802952;0.4277565926;22176.97254
10;0.1603913912;0.1294553301;0.1260220378;0.166900416;0.1796166405;258.5700121
11;0.1391664681;0.1311594986;0.1327730809;0.144662428;0.1548026453;1.116702555
12;0.1370440091;0.1313299128;0.1334481746;0.1424386641;0.1523212848;0.03253658055
13;0.4277565926;0.2760781832;0.02784023699;0.1400819948;0.2340060205;10010.53098
14;0.1661152674;0.1458047398;0.1228873808;0.1422029972;0.1604897583;45.70600705
15;0.1399511349;0.1327773955;0.1323920952;0.1424150974;0.1531381321;0.3921477935
16;0.1373936286;0.1315039913;0.1333211674;0.1424358299;0.1524195212;0.02567432912
17;0.2943421773;0;0.1914372857;0.1297574556;0.07652341736;18164.73234
18;0.1530884834;0.1183535922;0.1391327792;0.1411679925;0.1448299108;92.01246655
19;0.1389631141;0.1301889514;0.1339023286;0.1423090462;0.1516605602;0.05184020651
20;0.1381632899;0.1308591078;0.1336061635;0.1423736563;0.1520473337;0.02865056381
21;0.1376575194;0.1312828825;0.1334188829;0.1424145127;0.1522919107;0.02456463037
22;0.1377059405;0.1313046801;0.1333692724;0.1425260819;0.1523077143;0.02208734326
23;0.1377556938;0.1314016647;0.1332180154;0.1428204912;0.1522046361;0.01639320724
24;0.1377342781;0.1315390096;0.1330360716;0.1431287453;0.1519655459;0.1638819137
25;0.1377535523;0.1314153992;0.133199821;0.1428513166;0.1521807271;0.0158305529
26;0.1377145313;0.1314245115;0.1331707468;0.1428469988;0.1521145394;0.01395757985
27;0.1376612455;0.1314121919;0.1331883103;0.1427664395;0.1520694573;0.01378402338
28;0.1376613897;0.13142787;0.1331874391;0.1427913357;0.152051884;0.01338399149
29;0.1376604418;0.1314319569;0.1331836744;0.1427990438;0.1520452803;0.01337096323
30;0.1376609308;0.1314305007;0.1331844382;0.1427967862;0.1520476925;0.01336832349
31;0.137660909;0.1314305653;0.1331843015;0.1427969578;0.1520475356;0.01336829932
32;0.1376609095;0.1314305637;0.1331842868;0.1427969661;0.1520475306;0.01336829909
33;0.137546998;0.1309126291;0.1322419668;0.1422048915;0.1520649322;1.197400752
34;0.1376495183;0.1313787702;0.1330900548;0.1427377586;0.1520492708;0.02520840716
35;0.1376597704;0.1314253843;0.1331748636;0.1427910453;0.1520477047;0.01348665458
36;0.1376607956;0.1314300457;0.1331833445;0.142796374;0.152047548;0.01336947694
37;0.1376609095;0.1314305637;0.1331842868;0.1427969661;0.1520475306;0.01336829909
