Iter;Param[0];Param[1];Param[2];Param[3];Param[4];Function
0;0.1853126939;0.159799278;0.1482751028;0.1528538245;0.1747401828;1
1;0.2718166448;0.4064611005;0.5066434118;0.3227134548;0.2141405624;128.3218948
2;0.193963089;0.1844654603;0.1841119337;0.1698397875;0.1786802208;0.0891064429
3;0.4531976367;0.3982819312;0;0.2158586643;0.258893101;20.26227514
4;0.2198865438;0.2058471074;0.1657007404;0.1744416752;0.1867015088;0.1137179427
5;0.2054707334;0.1939569572;0.1759390467;0.171882605;0.1822409395;0.04992179302
6;0.5066434118;0.004755704197;0.1593718546;0.3257167265;0.3811843735;14.868613
7;0.2355880013;0.1750368319;0.1742823275;0.1872660172;0.2021352829;0.1339277313
8;0.2128523154;0.1893197353;0.1755329937;0.1756529974;0.1871169372;0.04193886152
9;0.3554522436;0.1465988454;0.2461451551;0;0.2514095018;8.262726571
10;0.2271123082;0.1850476463;0.1825942098;0.1580876977;0.1935461936;0.08076637167
11;0.2152638877;0.1885972629;0.176727148;0.1726824497;0.188204218;0.04020366167
12;0.1560063672;0.2065075812;0.1713677599;0.1118049903;0.3815931731;1.168460129
13;0.2093381356;0.1903882947;0.1761912092;0.1665947038;0.2075431135;0.04119705856
14;0.2124997352;0.1894327155;0.1764771516;0.1698427329;0.1972251246;0.03658781446
15;0.2153192025;0.1655031984;0.1475409647;0.1732523578;0.1559464523;0.5872769179
16;0.2130540018;0.1847285171;0.1707887141;0.170513016;0.1891103322;0.000351872956
17;0.2129674992;0.1847121851;0.1705613451;0.1703069728;0.1890455065;0.0002908849204
18;0.2129323373;0.1847694242;0.1705285609;0.1702983215;0.1890093322;0.0002897696051
19;0.212917068;0.1848011585;0.1705137404;0.1703036307;0.1889971806;0.0002896392669
20;0.2129170241;0.1848026938;0.1705130115;0.170304965;0.1889977913;0.0002896384991
21;0.2129171252;0.184802737;0.1705129623;0.170305113;0.1889979481;0.0002896384912
22;0.2129171331;0.1848027333;0.1705129611;0.1703051139;0.1889979535;0.0002896384911
23;0.2129172067;0.1848026748;0.1705127991;0.1703050303;0.1889979507;0.0002896385127
24;0.2129171331;0.1848027333;0.1705129611;0.1703051139;0.1889979535;0.0002896384911
