Iter;Param[0];Param[1];Param[2];Param[3];Param[4];Function
0;0.2002116891;0.1921087596;0.1898649919;0.1978310513;0.2076625097;1
1;0.1474742581;0.07157693583;0;0.07884781743;0.1547594218;3.011523277
2;0.1792665413;0.1442384554;0.1144583927;0.1505757836;0.1866515697;0.2497841587
3;0.01529217022;0.06405269636;0.2947174932;0.0321765904;0;25.48140958
4;0.1628691042;0.1362198795;0.1324843028;0.1387358643;0.1679864128;0.1900081232
5;0.01000476647;0.2431449487;0.07705387465;0.2723549565;0;41.03764049
6;0.1475826704;0.1469123864;0.12694126;0.1520977735;0.1511877715;0.2750519902
7;0.1602714278;0.1380368941;0.1315423544;0.1410064996;0.1651317617;0.1851111868
8;0.2063179301;0.2214005111;0.1489995364;0.1177876429;0.1224030992;1.321444532
9;0.166542729;0.1493905979;0.1339199345;0.1378442085;0.1593123336;0.1406786543
10;0.216249793;0.01147557992;0.4187227077;0.5984680444;0.2223525565;49.68748035
11;0.1715134354;0.1355990961;0.1624002118;0.1839065921;0.1656163559;0.2193554862
12;0.168613258;0.1436458;0.1457832863;0.1570313201;0.1619382502;0.03537874158
13;0;0.2146307873;0.1941067799;0.1458598058;0.3484541113;7.819746651
14;0.1517519322;0.1507442988;0.1506156356;0.1559141687;0.1805898363;0.01673016393
15;0.1771988814;0.1499651541;0.1602827776;0.154643159;0.171502297;0.02925669497
16;0.161514949;0.1504453709;0.1543245466;0.1554265311;0.1771032966;0.005941298799
17;0.1702950673;0.1813945674;0.1520899608;0.1579386045;0.1691954893;0.2088342893
18;0.1624308228;0.153673751;0.154091452;0.1556885711;0.1762784155;0.002441148775
19;0.1644474873;0.1569166532;0.1562463638;0.1558577596;0.1717925637;0.0007492499219
20;0.1645751812;0.1559795431;0.1557671758;0.15639429;0.1719955276;0.0004964676347
21;0.1647982114;0.1552388748;0.1554924312;0.1572990924;0.1710453677;0.0003106634748
22;0.1651794634;0.1547624393;0.1553267591;0.1584857445;0.1693135657;0.0001756918868
23;0.1652815081;0.1548644612;0.155246936;0.1590334061;0.1684098439;0.0001359530079
24;0.1652517544;0.1551692469;0.1550826523;0.1594135875;0.1678814009;0.0001067819266
25;0.1650380455;0.1558101492;0.1546461216;0.1599553972;0.1673908921;6.271094581e-05
26;0.1646628386;0.1565487804;0.1540263555;0.1604206562;0.167319963;2.882048072e-05
27;0.1642984398;0.1570177223;0.1537600635;0.1600654352;0.1682472974;1.029828696e-05
28;0.1643525339;0.1568090898;0.1537387262;0.1601869154;0.1681356786;4.42116534e-06
29;0.164349952;0.1567666076;0.1536674406;0.1602971275;0.1680788455;3.51607267e-06
30;0.1643472444;0.1567761167;0.1536738147;0.1602839621;0.1680878583;3.499462057e-06
31;0.1643470831;0.1567768897;0.1536726117;0.1602858854;0.1680861743;3.499038412e-06
32;0.1643470287;0.1567772194;0.1536724857;0.1602861206;0.1680858485;3.499019495e-06
33;0.164347027;0.1567772455;0.1536724922;0.1602861159;0.1680858352;3.499019265e-06
34;0.164347065;0.1567773986;0.1536727006;0.1602860339;0.1680858472;3.499031163e-06
35;0.164347027;0.1567772455;0.1536724922;0.1602861159;0.1680858352;3.499019265e-06
