Iter;Param[0];Param[1];Param[2];Param[3];Param[4];Function
0;0.22696904;0.2210295544;0.2208494383;0.2289131775;0.2372184406;1
1;0.1913113548;0.09594296704;0;0.1053677234;0.2011310588;1122.504679
2;0.2234032715;0.2085208957;0.1987644945;0.2165586321;0.2336097024;11.07509669
3;0.2261719088;0.2182332309;0.2159123265;0.2261513062;0.2364117034;0.02093847033
4;0.07595308026;0.2136569838;0.3894633181;0.00162156786;0;1547.035132
5;0.2111500259;0.2177756062;0.2332674256;0.2036983324;0.2127705331;10.17902372
6;0.2246697205;0.2181874684;0.2176478364;0.2239060088;0.2340475864;0.007423739423
7;0;0.02561481679;0.3522888402;0.2623420452;0.1157303354;959.7579913
8;0.2022027485;0.1989302033;0.2311119368;0.2277496125;0.2222158613;7.295359831
9;0.2224230233;0.2162617419;0.2189942464;0.2242903692;0.2328644139;0.0110705011
10;0.2236431192;0.2173075308;0.2182630623;0.2240816377;0.23350695;0.003331608999
11;0.2483066261;0.2496942863;0.1531202444;0.3670884438;0;1533.716699
12;0.2261094699;0.2205462064;0.2117487805;0.2383823183;0.210156255;13.05731594
13;0.2238897543;0.2176313984;0.2176116341;0.2255117057;0.2311718805;0.01819629306
14;0.2236791302;0.2173548185;0.2181679477;0.2242904409;0.2331660082;0.00308803102
15;0.1024183118;0.3215204798;0.1583158167;0.2626536509;0.2247142579;759.2388221
16;0.2115530484;0.2277713846;0.2121827346;0.2281267619;0.2323208331;5.12160646
17;0.2224665221;0.2183964751;0.2175694264;0.224674073;0.2330814906;0.003645175385
18;0.2230728261;0.2178756468;0.217868687;0.2244822569;0.2331237494;0.003137378762
19;0.2234418292;0.2175586652;0.2180508202;0.2243655157;0.2331494685;0.003054506613
20;0.2238738221;0.2178958739;0.2168376758;0.2257775831;0.2325731792;0.01203568338
21;0.2235327314;0.2176296224;0.217795544;0.2246626503;0.2330282027;0.001848131807
22;0.2239282082;0.2176774881;0.2171597428;0.2253161389;0.2330824231;0.001219717363
23;0.2249765236;0.216789473;0.2173451352;0.2244939125;0.2350341645;0.005461727806
24;0.2242495035;0.2174053228;0.2172165632;0.225064137;0.2336806069;0.0008695610526
25;0.2239091598;0.2175332788;0.2174522498;0.2249404155;0.2333157856;0.0004920106296
26;0.2239828309;0.2175123166;0.2173888449;0.2249839582;0.2333838204;0.0004519912439
27;0.2239821396;0.2175169683;0.2173812041;0.2249947468;0.2333753346;0.0004505561913
28;0.2239775847;0.2175239193;0.2173746649;0.2250064129;0.2333608779;0.0004499421735
29;0.2239774173;0.2175236999;0.2173753036;0.2250056375;0.2333612034;0.0004499395105
30;0.2239773859;0.2175237183;0.2173753132;0.2250056434;0.2333611562;0.0004499395057
31;0.2239782033;0.2175320257;0.2173873948;0.2250119503;0.2333581009;0.0004553673936
32;0.2239774677;0.217524549;0.2173765213;0.2250062741;0.2333608507;0.0004499938328
33;0.2239773941;0.2175238014;0.217375434;0.2250057065;0.2333611256;0.0004499400538
34;0.2239773859;0.2175237183;0.2173753132;0.2250056434;0.2333611562;0.0004499395057
