Iter;Param[0];Param[1];Param[2];Param[3];Param[4];Function
0;0.170729995;0.1457698536;0.1300292588;0.1318352221;0.1496263714;1
1;0.141218171;0.06990878807;0;0.04685380367;0.1173090915;31.15172584
2;0.1650556214;0.1311836991;0.1050279377;0.1154954556;0.14341258;0.8163644092
3;0.03211663202;0.05640172194;0.2283918222;0.02202024599;0;97.3780596
4;0.1517617225;0.1237055014;0.1173643261;0.1061479346;0.129071322;0.810677285
5;0.02468366452;0.1692546407;0.08941162757;0.1792317385;0;76.51862099
6;0.1390539167;0.1282604153;0.1145690563;0.113456315;0.1161641898;0.8591596342
7;0.1464359836;0.1256144291;0.1161928511;0.1092108179;0.123662047;0.7985847657
8;0.2342971455;0.1144851281;0.1222947461;0.1360754381;0.07402758366;5.780468261
9;0.1565850365;0.1243288569;0.1168976955;0.1123140145;0.1179286514;0.6636071027
10;0.1117947199;0.06434909066;0.1743144335;0.2660287656;0.453168825;139.935235
11;0.1521060049;0.1183308803;0.1226393693;0.1276854896;0.1514526688;0.5017674513
12;0.1262284757;0.380179105;0.1442494178;0;0.3601879031;157.8681433
13;0.1495182519;0.1445157027;0.1248003742;0.1149169406;0.1723261922;0.5513092347
14;0.1508514978;0.1310249221;0.1236869948;0.1214954726;0.1615718659;0.2849729097
15;0.1584136447;0.1354418482;0.1243684335;0.119168993;0.1326257151;0.01647254358
16;0.159854876;0.1345596832;0.123120046;0.119242439;0.1377918971;0.004108232415
17;0.1588243944;0.1347940971;0.123076002;0.1199408969;0.1377964738;0.002735044659
18;0.1583503891;0.1353528744;0.1226463525;0.1205761244;0.137479344;0.001492268316
19;0.1577096169;0.1365846066;0.1215055064;0.1216594707;0.1366213128;7.184842794e-05
20;0.1578230463;0.1367040086;0.1213436661;0.1216907758;0.1364830061;1.03862719e-05
21;0.1578723878;0.1366925528;0.1213369149;0.1216543028;0.1364741166;7.356124861e-06
22;0.157871823;0.1366919138;0.1213381072;0.1216507039;0.1364762919;7.348990249e-06
23;0.1578720183;0.1366918252;0.1213382449;0.1216505837;0.1364764409;7.34896772e-06
24;0.1578719889;0.1366918352;0.1213382376;0.1216505887;0.1364764364;7.348967471e-06
25;0.1578721014;0.1366918684;0.1213382313;0.1216507268;0.1364764323;7.3489935e-06
26;0.1578719889;0.1366918352;0.1213382376;0.1216505887;0.1364764364;7.348967471e-06
