

Option Maturity ;   0.0027397260274

 Money  ;   0.9838484987227  ;   0.9915346114276  ;   1.0000818020188  ;   1.0088824211588  ;   1.0171336225704 
 Input BlackVol  ;   0.2439555716057  ;   0.2430776708931  ;   0.2443625000000  ;   0.2480776708931  ;   0.2519555716057 
 Fwd PDE BlackVol  ;   0.2446309474056  ;   0.2432738989708  ;   0.2443870256252  ;   0.2482664779555  ;   0.2526312285818 
 ImpliedVol First Guess  ;   0.2438832646106  ;   0.2426661257239  ;   0.2438421257658  ;   0.2475658358266  ;   0.2520465808133 
 ImpliedVol LV Calib  ;   0.2446454360873  ;   0.2432467052815  ;   0.2444374981842  ;   0.2481672866590  ;   0.2527689848059 

Option Maturity ;   0.0191780821918

 Money  ;   0.9614600351663  ;   0.9798668887987  ;   1.0004785194469  ;   1.0218684296566  ;   1.0421482435959 
 Input BlackVol  ;   0.2241598547888  ;   0.2228211730852  ;   0.2233625000000  ;   0.2263211730852  ;   0.2297598547888 
 Fwd PDE BlackVol  ;   0.2242480610179  ;   0.2228340180601  ;   0.2233574000958  ;   0.2263316427397  ;   0.2298403201114 
 ImpliedVol First Guess  ;   0.2270481661415  ;   0.2257634645125  ;   0.2264338346350  ;   0.2293842438829  ;   0.2331131270133 
 ImpliedVol LV Calib  ;   0.2242596855579  ;   0.2228123032534  ;   0.2233977176898  ;   0.2262523333006  ;   0.2299512397840 

Option Maturity ;   0.0383561643836

 Money  ;   0.9528142941471  ;   0.9754908109935  ;   1.0007145455242  ;   1.0269526705182  ;   1.0521496825788 
 Input BlackVol  ;   0.1954893481230  ;   0.1932455882677  ;   0.1929900000000  ;   0.1957455882677  ;   0.1994893481230 
 Fwd PDE BlackVol  ;   0.1956600853293  ;   0.1931969052776  ;   0.1928461741383  ;   0.1956965733084  ;   0.1996389569672 
 ImpliedVol First Guess  ;   0.2111912058363  ;   0.2089161846217  ;   0.2088723182805  ;   0.2118403816373  ;   0.2161119977376 
 ImpliedVol LV Calib  ;   0.1956634958185  ;   0.1931904298986  ;   0.1928605190978  ;   0.1956650208072  ;   0.1996857401412 

Option Maturity ;   0.0794520547945

 Money  ;   0.9366958165952  ;   0.9674761805614  ;   1.0012762201813  ;   1.0365136189568  ;   1.0711344603928 
 Input BlackVol  ;   0.1847701000085  ;   0.1806804326209  ;   0.1791788500000  ;   0.1816804326209  ;   0.1863901000085 
 Fwd PDE BlackVol  ;   0.1849028534441  ;   0.1805954552911  ;   0.1790429378006  ;   0.1816187694896  ;   0.1865190917114 
 ImpliedVol First Guess  ;   0.1914082623272  ;   0.1873168037623  ;   0.1861069446338  ;   0.1888532772150  ;   0.1940213686989 
 ImpliedVol LV Calib  ;   0.1849028544542  ;   0.1805954529629  ;   0.1790429422171  ;   0.1816187604664  ;   0.1865191059368 

Option Maturity ;   0.1589041095890

 Money  ;   0.9165314326718  ;   0.9576844582098  ;   1.0021884469712  ;   1.0484766131381  ;   1.0949730838084 
 Input BlackVol  ;   0.1753382344369  ;   0.1691236358990  ;   0.1658739000000  ;   0.1676236358990  ;   0.1728982344369 
 Fwd PDE BlackVol  ;   0.1754573476846  ;   0.1690238430197  ;   0.1657286655205  ;   0.1675474462537  ;   0.1730223343674 
 ImpliedVol First Guess  ;   0.1820543274889  ;   0.1757778891420  ;   0.1729111642703  ;   0.1750886003916  ;   0.1809346477146 
 ImpliedVol LV Calib  ;   0.1754573493707  ;   0.1690238417769  ;   0.1657286659368  ;   0.1675474461047  ;   0.1730223346884 

Option Maturity ;   0.2465753424658

 Money  ;   0.9027436952451  ;   0.9510040556895  ;   1.0029663773171  ;   1.0569167949810  ;   1.1115585978229 
 Input BlackVol  ;   0.1660390420690  ;   0.1591025975963  ;   0.1550000000000  ;   0.1561025975963  ;   0.1610890420690 
 Fwd PDE BlackVol  ;   0.1661447476620  ;   0.1590020149025  ;   0.1548158605358  ;   0.1560185049279  ;   0.1612367220366 
 ImpliedVol First Guess  ;   0.1736430242210  ;   0.1663377117365  ;   0.1624206027613  ;   0.1640119996534  ;   0.1697363205182 
 ImpliedVol LV Calib  ;   0.1661454589441  ;   0.1590015528440  ;   0.1548160609548  ;   0.1560184234793  ;   0.1612367626497 

Option Maturity ;   0.4986301369863

 Money  ;   0.8752221316854  ;   0.9379076318827  ;   1.0048679932392  ;   1.0740697062639  ;   1.1450558444978 
 Input BlackVol  ;   0.1535872815754  ;   0.1451570329868  ;   0.1395639500000  ;   0.1394070329868  ;   0.1438072815754 
 Fwd PDE BlackVol  ;   0.1536896969850  ;   0.1450483914264  ;   0.1394041874040  ;   0.1393335312270  ;   0.1439466523978 
 ImpliedVol First Guess  ;   0.1620988228723  ;   0.1532422145924  ;   0.1478675289787  ;   0.1482362583815  ;   0.1533442009488 
 ImpliedVol LV Calib  ;   0.1536911849432  ;   0.1450473994899  ;   0.1394046394158  ;   0.1393333257585  ;   0.1439467589339 

Option Maturity ;   0.7506849315068

 Money  ;   0.8525684946750  ;   0.9269837268765  ;   1.0069384408148  ;   1.0901034683091  ;   1.1765728038803 
 Input BlackVol  ;   0.1510562749863  ;   0.1419255985041  ;   0.1357269000000  ;   0.1351755985041  ;   0.1395762749863 
 Fwd PDE BlackVol  ;   0.1511186997315  ;   0.1418452536475  ;   0.1355926516974  ;   0.1351181915326  ;   0.1396864686897 
 ImpliedVol First Guess  ;   0.1545679654153  ;   0.1448638145730  ;   0.1386449027258  ;   0.1384486550530  ;   0.1433629188764 
